Symbolic_Maths,Natural_Language
Aᵀx,the transpose of matrix A times vector x
"∃ x ∈ C, Q x",There exists an element x in C such that property Q holds
e₃,the third standard basis vector
∀x (Q(x) ∨ R(x)),"for all x, either Q(x) or R(x) is true"
w + y + a,"the sum of vectors w, y, and a"
b ∈ Q ∪ Y ↔ (b ∈ Q ∨ b ∈ Y),b is an element of Q union Y if and only if b is an element of Q or b is an element of Y
Bu = x,the linear system B times u equals x
q → (p ∨ r),if q then either p or r
(A + M)ᵀ,the transpose of the sum of matrices A and M
(Y ∩ A)ᶜ = Yᶜ ∪ Aᶜ,The complement of the intersection of Y and A equals the union of their complements
det(kC),the determinant of k times matrix C
T = C ↔ (T ⊆ C ∧ C ⊆ T),Two sets are equal if and only if each is a subset of the other
v ∥ u,vector v is parallel to vector u
Z ∈ 𝒫(Z),Z is an element of its own power set
Y ⊆ X ∧ X ⊆ B → Y ⊆ B,"If Y ⊆ X and X ⊆ B, then Y ⊆ B"
z ∉ X,z is not a member of set X
B ⊇ W,Set B contains set W
det C,the determinant of matrix C
∃x (P(x) ∧ Q(x)) → (∃x P(x)) ∧ (∃x Q(x)),"if there exists x such that P(x) and Q(x), then there exists x P(x) and there exists x Q(x)"
(p ∧ A),p and A
f '' T,The image of set T under function f
det(BC),the determinant of the product of matrices B and C
"X × Q = {(a, b) | a ∈ X ∧ b ∈ Q}","The Cartesian product X × Q is the set of all ordered pairs (a, b) where a ∈ X and b ∈ Q"
(p ∨ q) ∧ (r ∨ s),"either p or q, and either r or s"
(∀x P(x)) → Q(y),"if for all x P(x), then Q(y)"
range(T),the range of linear transformation T
‖w + y‖²,the squared norm of the sum of w and y
|AP|,the determinant of the product of matrices A and P
∃x in the real numbers Positive(x),there exists x in the real numbers such that Positive(x)
X ∪ (Q ∩ V) = (X ∪ Q) ∩ (X ∪ V),Union distributes over intersection: X ∪ (Q ∩ V) = (X ∪ Q) ∩ (X ∪ V)
∃a in D Q(a),there is some a in D for which Q of a holds
∃x (P(x) ∨ Q(x)),there exists x such that either P(x) or Q(x) is true
Z ∪ (A ∩ V) = (Z ∪ A) ∩ (Z ∪ V),Union distributes over intersection: Z ∪ (A ∩ V) = (Z ∪ A) ∩ (Z ∪ V)
w + x,the sum of vectors w and x
(A → B) ↔ (¬B → ¬A),if A then B is eBuivalent to if not B then not A
tr(A + M),the trace of the sum of matrices A and M
∀z in D P(z),"for every z in D, P of z holds"
b ∈ Aᶜ ↔ b ∉ A,b is an element of the complement of A if and only if b is not in A
e^M,the matrix exponential of M
X × P,The Cartesian product of X and P
B ⊆ C,Set B is a subset of set C
"[v₁, v₂, v₃]","the vector with components v1, v2, and v3"
w ∈ V,The element w is an element of set V
L(v),the linear operator L applied to vector v
"∃x ∃y P(x, y)","there exist x and y such that P(x, y) is true"
b ∉ Z,b is not a member of set Z
"∃ x ∈ W, Q x",There exists an element x in W such that property Q holds
∃a in the domain P(a),there exists a in the domain such that P(a) is true
(p ∧ q),p and q
Y ∪ (Y ∩ U) = Y,Ybsorption law for union: Y ∪ (Y ∩ U) = Y
f ⁻¹' X,The preimage of set X under function f
V⊥,the orthogonal complement of subspace V
v ∈ Z ∪ S ↔ (v ∈ Z ∨ v ∈ S),v is an element of Z union S if and only if v is an element of Z or v is an element of S
P_{B←S},the change of basis matrix from S to B
f '' A ⊆ U,The image of A under f is a subset of U
p ∨ s,p or s
z ∈ W,The element z is an element of set W
A ∩ Z,The intersection of A and Z
(T ∩ S)ᶜ = Tᶜ ∪ Sᶜ,The complement of the intersection of T and S equals the union of their complements
v ⊗ w,the tensor product of v and w
T(cv),T applied to c times v
k ∈ W,The element k is an element of set W
(Q ∪ U)ᶜ = Qᶜ ∩ Uᶜ,The complement of the union of Q and U equals the intersection of their complements
y ∈ V ∩ Z ↔ (y ∈ V ∧ y ∈ Z),y is an element of the intersection of V and Z if and only if y is in both V and Z
√B,the matrix square root of B
m ∈ Q,The element m is an element of set Q
‖v‖∞,the infinity norm of vector v
(∀x P(x)) ∨ (∀x Q(x)) → ∀x (P(x) ∨ Q(x)),"if for all x P(x) or for all x Q(x), then for all x, P(x) or Q(x)"
∃!y P(y),there exists one and only one y such that P(y)
∃x in the domain R(x),there is some x in the domain for which R of x holds
A ∪ Q,The union of A and Q
C · v,matrix C applied to vector v
q ∧ r,q is true and r is true
t ∈ X,The element t is an element of set X
B = LLᵀ,matrix B equals L times L transpose
∀x (P(x) ↔ Q(x)),"for all x, P(x) if and only if Q(x)"
A → p,A implies p
r ∨ (q ∧ p),r or both q and p
"(x₁, x₂, x₃)","the vector with components x1, x2, and x3"
y ∈ W ∪ V ↔ (y ∈ W ∨ y ∈ V),y is an element of W union V if and only if y is an element of W or y is an element of V
(B → q) ∧ (B ∧ ¬q),"if B then q, and B and not q, is a contradiction"
(q ∨ p) ∧ (r ∨ s),"either q or p, and either r or s"
(R ∩ Y)ᶜ = Rᶜ ∪ Yᶜ,The complement of the intersection of R and Y equals the union of their complements
k ∈ C,The element k is an element of set C
∃y (Q(y) ∨ R(y)),there exists y such that either Q(y) or R(y) is true
"∃ S ⊆ Z, S ≠ ∅",There exists a subset S of Z that is non-empty
"∃ S ⊆ R, S ≠ ∅",There exists a subset S of R that is non-empty
Mv = μv,matrix M times vector v equals μ times vector v
S ⊆ T,Set S is a subset of set T
(q ∧ t),q and t
s ∈ P ∪ T ↔ (s ∈ P ∨ s ∈ T),s is an element of P union T if and only if s is an element of P or s is an element of T
P ∪ (S ∩ X) = (P ∪ S) ∩ (P ∪ X),Union distributes over intersection: P ∪ (S ∩ X) = (P ∪ S) ∩ (P ∪ X)
exp(A),the matrix exponential of A
∃z Q(z),there exists z such that Q(z) is true
p ∨ A,p is true or A is true
"z = [z₁, z₂]",the vector z with components z1 and z2
x ∈ Sᶜ ↔ x ∉ S,x is an element of the complement of S if and only if x is not in S
∀x in the real numbers (Positive(x) → Even(x)),"for all x in the real numbers, if Positive(x) then Even(x)"
∃x in set S (Positive(x) ∧ Even(x)),there exists x in set S such that both Positive(x) and Even(x)
∀x in set S Odd(x),"for all x in set S, Odd(x)"
¬(r ∨ ¬r),not r or not r is a contradiction
∀x (P(x) ∨ Q(y)),"for all x, either P(x) or Q(y)"
(P ∪ W)ᶜ = Pᶜ ∩ Wᶜ,The complement of the union of P and W equals the intersection of their complements
p ∨ q,p or q
(q ↔ r) ∧ (s ↔ p),"q if and only if r, and s if and only if p"
uᵀ,the transpose of vector u
(kA)ᵀ,the transpose of k times matrix A
‖w + z‖²,the squared norm of the sum of w and z
‖y‖ₚ,the p-norm of vector y
∃x (Q(x) ∧ S(x)),there exists x such that both Q(x) and S(x) are true
(q ∨ s) ∧ (r ∨ p),"either q or s, and either r or p"
T(x),the linear transformation T applied to vector x
(X ∩ V)ᶜ = Xᶜ ∪ Vᶜ,The complement of the intersection of X and V equals the union of their complements
[C]ᵢⱼ,the i j entry of matrix C
∀y (Q(y) → y = a),"for all y, if Q(y) then y equals a"
B \ X,The set difference B minus X
m ∈ W ∪ X ↔ (m ∈ W ∨ m ∈ X),m is an element of W union X if and only if m is an element of W or m is an element of X
∃!x P(x),there exists a unique x such that P(x) is true
t ∨ A,either t or A
V ∪ P,The union of V and P
Bw = μw,matrix B times vector w equals μ times vector w
Z ∪ W,The union of Z and W
X ∪ (P ∩ S) = (X ∪ P) ∩ (X ∪ S),Union distributes over intersection: X ∪ (P ∩ S) = (X ∪ P) ∩ (X ∪ S)
∃x in the natural numbers Even(x),there exists x in the natural numbers such that Even(x)
Surjective (f : U → X),f is surjective from U to X
p ∧ ¬p ↔ ⊥,p and not p is equivalent to false
e₂,the second standard basis vector
(v + y) ⋅ a,the dot product of the sum of v and y with a
‖w‖₁,the L1 norm of vector w
T ∈ 𝒫(T),T is an element of its own power set
"⟨w, u⟩",the inner product of vectors w and u
C ∪ Cᶜ = univ,The union of C and its complement equals the universal set
b ∈ R ∩ P ↔ (b ∈ R ∧ b ∈ P),b is an element of the intersection of R and P if and only if b is in both R and P
"∀ S, S ⊆ W → S ∈ 𝒫(W)",Every subset of W is an element of the power set of W
[A; B],matrix A stacked above matrix B
e^C,the matrix exponential of C
t ∨ A,t or A
y ∈ P ∪ T ↔ (y ∈ P ∨ y ∈ T),y is an element of P union T if and only if y is an element of P or y is an element of T
{x ∈ A | Q x},The set of all elements in A satisfying property Q
∃x P(x),there is some x for which P of x holds
|w|,the magnitude of vector w
b ∉ P,b is not a member of set P
"∃y ∃z Q(y, z)","there exist y and z such that Q(y, z) is true"
dC/dt,the derivative of matrix C with respect to t
(Cᶜ)ᶜ = C,Double complement of C is C
"⟨w, u⟩",the inner product of w and u
p ∧ ¬p,p and not p is a contradiction
s ∈ Z ∪ W ↔ (s ∈ Z ∨ s ∈ W),s is an element of Z union W if and only if s is an element of Z or s is an element of W
C ⊆ R ∧ R ⊆ C → C = R,"If C is a subset of R and R is a subset of C, then C equals R"
p ∨ ⊥ ↔ p,p or false is equivalent to p
s → r,if s then r
c ∉ S,c is not a member of set S
q ∧ A,q and A
n ∈ C ∩ Y ↔ (n ∈ C ∧ n ∈ Y),n is an element of the intersection of C and Y if and only if n is in both C and Y
∃z (P(z) ∧ R(z)),there exists z such that both P(z) and R(z) are true
C = UΣVᵀ,matrix C equals U times Sigma times V transpose
P ∪ (Z ∩ V) = (P ∪ Z) ∩ (P ∪ V),Union distributes over intersection: P ∪ (Z ∩ V) = (P ∪ Z) ∩ (P ∪ V)
Disjoint Z Zᶜ,Z and its complement are disjoint
B⁻¹,the inverse of matrix B
q ∨ A,q is true or A is true
A ⊇ P,Set A contains set P
p ∧ A,p is true and A is true
Xᶜ,The complement of X
¬¬p ↔ p,the negation of not p is equivalent to p
W \ Y,The set difference W minus Y
λ3(C),the third eigenvalue of matrix C
∃!t R(t),there exists a unique t such that R(t)
M = QR,matrix M equals Q times R
u ∥ x,vector u is parallel to vector x
W ∪ (W ∩ R) = W,Wbsorption law for union: W ∪ (W ∩ R) = W
(q ∧ p) → (r ∨ s),if both q and p then either r or s
q ∨ (r ∧ p),q or both r and p
¬r,the negation of r
"∃ S ⊆ V, S ≠ ∅",There exists a subset S of V that is non-empty
C ∈ ℝᵐˣⁿ,matrix C is an m by n real matrix
S ⊆ P ∧ P ⊆ S → S = P,"If S is a subset of P and P is a subset of S, then S equals P"
(p ∨ t),p or t
r → q,if r then q
"∃x ∀z R(x, z)","there exists x such that for all z, R(x, z) is true"
R ⊆ W ∧ W ⊆ Y → R ⊆ Y,"If R ⊆ W and W ⊆ Y, then R ⊆ Y"
"C × S = {(a, b) | a ∈ C ∧ b ∈ S}","The Cartesian product C × S is the set of all ordered pairs (a, b) where a ∈ C and b ∈ S"
∃z (Q(z) ∨ R(z)),there exists z such that either Q(z) or R(z) is true
(R ∪ W)ᶜ = Rᶜ ∩ Wᶜ,The complement of the union of R and W equals the intersection of their complements
Z ⊆ T ∧ T ⊆ Z → Z = T,"If Z is a subset of T and T is a subset of Z, then Z equals T"
‖M‖,the norm of matrix M
Finite S ∧ Finite T → Finite (S ∪ T),"If S is finite and T is finite, then S ∪ T is finite"
∀x in set S (Even(x) → Odd(x)),"for all x in set S, if Even(x) then Odd(x)"
"∀x ∃y R(x, y)","for all x, there exists y such that R(x, y) is true"
"∃ x ∈ B, Q x",There exists an element x in B such that property Q holds
¬(A ∧ B) ↔ (¬A ∨ ¬B),the negation of A and B is equivalent to not A or not B
∃z P(z),there exists z such that P(z) is true
C²,matrix C squared
p ∨ q,either p or q
(Aᵀ)ᵢⱼ,the i j entry of the transpose of matrix A
xᵀ,the transpose of vector x
∀z P(z),"for all z, P(z) is true"
∃z (Q(z) ∧ S(z)),there exists z such that both Q(z) and S(z) are true
"∃ x ∈ P, Q x",There exists an element x in P such that property Q holds
B \ P,The set difference B minus P
dB/dt,the derivative of matrix B with respect to t
p → (s → (r → q)),if p then if s then if r then q
B ∪ S,The union of B and S
tr(C),the trace of matrix C
∀z in D Q(z),"for every z in D, Q of z holds"
"∀x S(x, x)","for all x, S(x, x) holds"
Cᵀᵀ,the transpose of the transpose of matrix C
|B|,the determinant of matrix B
"∃x ∀y ∃z F(x, y, z)","there exists x such that for all y, there exists z such that F(x, y, z)"
BCᵀ,matrix B times the transpose of C
CᵀMᵀ,the transpose of C times the transpose of M
∃x in the integers (Even(x) ∧ Odd(x)),there exists x in the integers such that both Even(x) and Odd(x)
A → (B ∧ C) ↔ (A → B) ∧ (A → C),"if A then both B and C is eBuivalent to if A then B, and if A then C"
b ∉ R,b is not a member of set R
z ∈ V ∩ R ↔ (z ∈ V ∧ z ∈ R),z is an element of the intersection of V and R if and only if z is in both V and R
V ∩ R,The intersection of V and R
det M,the determinant of matrix M
‖z‖₂,the Euclidean norm of vector z
∃x in the domain D (Prime(x) ∧ Positive(x)),there exists x in the domain D such that both Prime(x) and Positive(x)
z ∈ S ∪ A ↔ (z ∈ S ∨ z ∈ A),z is an element of S union A if and only if z is an element of S or z is an element of A
u ∈ X ∩ Y ↔ (u ∈ X ∧ u ∈ Y),u is an element of the intersection of X and Y if and only if u is in both X and Y
trace(Q),the trace of matrix Q
(q ∨ p) → r,if either q or p then r
r → (q ∨ p),if r then either q or p
c ∈ Yᶜ ↔ c ∉ Y,c is an element of the complement of Y if and only if c is not in Y
Z ∩ R,The intersection of Z and R
Q ∈ ℝⁿˣⁿ,matrix Q is an n by n real matrix
Mᵢⱼ,the entry in row i and column j of matrix M
"∃x ∀y R(x, y)","there exists x such that for all y, R(x, y) holds"
X ∪ (X ∩ R) = X,Xbsorption law for union: X ∪ (X ∩ R) = X
r ↔ A,r is equivalent to A
S \ R,The set difference S minus R
P ⊆ C ∧ C ⊆ P → P = C,"If P is a subset of C and C is a subset of P, then P equals C"
Bx,matrix B times vector x
∃!y Q(y),there exists a unique y such that Q(y) is true
B is orthogonal,matrix B is orthogonal
¬(p ∨ q ∨ r) ↔ (¬p ∧ ¬q ∧ ¬r),"not any of p, q, or r is equivalent to not p, and not q, and not r"
P*,the conjugate transpose of matrix P
∅ ⊆ V,The empty set is a subset of every set V
x ∈ C ∪ U ↔ (x ∈ C ∨ x ∈ U),x is an element of C union U if and only if x is an element of C or x is an element of U
W ⊆ R,Set W is a subset of set R
∃z in the domain Q(z),there exists z in the domain such that Q(z) is true
"∀ x ∈ Q, P x → Q x","For every element x in Q, if P(x) then Q(x)"
B⁺,the Moore-Penrose pseudoinverse of matrix B
κ(A),the condition number of matrix A
L(cv),L applied to c times v
ker(L),the kernel of linear transformation L
k ∈ Z,The element k is an element of set Z
s → (q → (p → r)),if s then if q then if p then r
∀a in the domain P(a),"for every a in the domain, P of a holds"
∃z in D P(z),there is some z in D for which P of z holds
z ∈ T ∩ S ↔ (z ∈ T ∧ z ∈ S),z is an element of the intersection of T and S if and only if z is in both T and S
σ3(A),the third singular value of matrix A
p → s,p implies s
w ⋅ (y + b),the dot product of w with the sum of y and b
m ∈ P,The element m is an element of set P
∃!x R(x),there is exactly one x for which R of x holds
Aᵢⱼ,the entry in row i and column j of matrix A
‖v + w‖²,the squared norm of the sum of v and w
t → r,if t then r
t ↔ A,t if and only if A
f : V → C,f maps V into C
∃x in the natural numbers Prime(x),there exists x in the natural numbers such that Prime(x)
Bᵀu,the transpose of matrix B times vector u
‖v‖ + ‖u‖,the sum of the norms of v and u
(P ∩ W)ᶜ = Pᶜ ∪ Wᶜ,The complement of the intersection of P and W equals the union of their complements
(w + x) ⋅ b,the dot product of the sum of w and x with b
(A ∩ T)ᶜ = Aᶜ ∪ Tᶜ,The complement of the intersection of A and T equals the union of their complements
T(v),the linear transformation T applied to vector v
q ∨ A,either q or A
xᵢ,the i-th component of vector x
(A + C)ᵀ,the transpose of the sum of matrices A and C
"∀y, P(y)","for all y, P(y)"
∃!z Q(z),there exists one and only one z such that Q(z)
(R ∩ P)ᶜ = Rᶜ ∪ Pᶜ,The complement of the intersection of R and P equals the union of their complements
q ∧ s,q is true and s is true
Q ⊆ U,Q is a subset of U
s → (r → (p → q)),if s then if r then if p then q
nullity(f),the nullity of linear transformation f
U \ R,The set difference U minus R
Q ∩ (W ∪ C) = (Q ∩ W) ∪ (Q ∩ C),Intersection distributes over union: Q ∩ (W ∪ C) = (Q ∩ W) ∪ (Q ∩ C)
n ∈ R ∩ A ↔ (n ∈ R ∧ n ∈ A),n is an element of the intersection of R and A if and only if n is in both R and A
q → (s → (p → r)),if q then if s then if p then r
(r ↔ s) ∧ (q ↔ p),"r if and only if s, and q if and only if p"
"∃ S ⊆ C, S ≠ ∅",There exists a subset S of C that is non-empty
W ⊇ C,Set W contains set C
r ↔ t,r if and only if t
∀x in D R(x),"for all x in D, R(x) is true"
z ∈ X,The element z is an element of set X
A = QΛQᵀ,matrix A equals Q times Lambda times Q transpose
vᵀy,the transpose of v times y
∃y (R(y) ∨ S(y)),there exists y such that either R(y) or S(y) is true
X ∪ (P ∩ P) = (X ∪ P) ∩ (X ∪ P),Union distributes over intersection: X ∪ (P ∩ P) = (X ∪ P) ∩ (X ∪ P)
‖u‖,the norm of vector u
‖u‖₁,the L1 norm of vector u
A ≈ C,matrix A is approximately equal to matrix C
x ∈ V ∪ Q ↔ (x ∈ V ∨ x ∈ Q),x is an element of V union Q if and only if x is an element of V or x is an element of Q
k ∈ R ∩ W ↔ (k ∈ R ∧ k ∈ W),k is an element of the intersection of R and W if and only if k is in both R and W
p ↔ s,p if and only if s
T ∩ (T ∪ U) = T,Absorption law for intersection: T ∩ (T ∪ U) = T
∀x (Q(x) ∧ S(x)),"for all x, both Q(x) and S(x) are true"
∀y Q(y),"for all y, Q(y) is true"
a ∈ P ∩ C ↔ (a ∈ P ∧ a ∈ C),a is an element of the intersection of P and C if and only if a is in both P and C
p_A(λ) = 0,the characteristic equation of matrix A
∀x in D Q(x),"for all x in D, Q(x) is true"
(αC)ᵀ,the transpose of α times matrix C
n ∈ U \ C,n is an element of U but not in C
∀x in the domain D Even(x),"for all x in the domain D, Even(x)"
C*,the conjugate transpose of matrix C
p ↔ t,p if and only if t
S ⊆ U,Set S is a subset of set U
BM,the product of matrices B and M
A is invertible,matrix A is invertible
σ1(B),the first singular value of matrix B
V ⊆ V ∧ Infinite V → Infinite V,"If V ⊆ V and V is infinite, then V is infinite"
q ∨ (p ∧ r),q or both p and r
B ∩ P,The intersection of B and P
proj_v(u),the projection of u onto v
C · M,the product of matrices C and M
W ∩ B,The intersection of W and B
0ₘₙ,the m by n zero matrix
A ∪ P,The union of A and P
chol(M),the Cholesky decomposition of matrix M
T ⊆ T ∪ U,T is a subset of the union of T and U
(p ∧ q) → (r ∨ s),if both p and q then either r or s
(cA)⁻¹,the inverse of c times matrix A
p → r,if p is true then r is true
W ⊆ ℝⁿ,W is a subspace of n-dimensional real space
B + P,the sum of matrices B and P
(r ∨ s) ∧ (p ∨ q),"either r or s, and either p or q"
Z ∪ T,The union of Z and T
"∃x ∀y ∃z P(x, y, z)","there exists x such that for all y, there exists z such that P(x, y, z)"
∅ ∈ 𝒫(Z),The empty set is an element of the power set of Z
Q ⊇ A,Set Q contains set A
"T = Z ↔ ∀ x, x ∈ T ↔ x ∈ Z",Sets T and Z are equal if they have the same elements
∀x (Q(x) ∧ R(x)),"for all x, both Q(x) and R(x) are true"
∀z (Q(z) ∨ R(z)),"for all z, either Q(z) or R(z) is true"
"∃x ∃y R(x, y)","there exist x and y such that R(x, y) is true"
(Mᵀ)ᵢⱼ,the i j entry of the transpose of matrix M
"∃! x ∈ V, P x",There exists a unique element x in V satisfying P
"∀z, Q(z)","for all z, Q(z)"
"∀x ∀a Q(x, a)","for all x and for all a, Q(x, a) is true"
cB,the scalar c times matrix B
t ∈ Y ∪ C ↔ (t ∈ Y ∨ t ∈ C),t is an element of Y union C if and only if t is an element of Y or t is an element of C
((P → Q) ∧ ¬Q) → ¬P,"if P imPlies Q and not Q, then not P"
Y ∩ (P ∪ Q) = (Y ∩ P) ∪ (Y ∩ Q),Intersection distributes over union: Y ∩ (P ∪ Q) = (Y ∩ P) ∪ (Y ∩ Q)
∃x in the real numbers Odd(x),there exists x in the real numbers such that Odd(x)
"∀y ∀z R(y, z)","for all y and for all z, R(y, z) is true"
Av = μv,matrix A times vector v equals μ times vector v
∃a in the domain Q(a),there exists a in the domain such that Q(a) is true
"∀x ∀y (S(x) ∧ T(y) → ∃z U(x, y, z))","for all x and y, if S(x) and T(y) then there exists z such that U(x, y, z)"
r ∧ A,r and A
Injective (f : V → Q),f is injective on V
∀x in the integers Positive(x),"for all x in the integers, Positive(x)"
v + x + a,"the sum of vectors v, x, and a"
X ⊇ W,Set X contains set W
s ∈ Z ∪ P ↔ (s ∈ Z ∨ s ∈ P),s is an element of Z union P if and only if s is an element of Z or s is an element of P
U ∪ B,The union of U and B
P ⊆ V,Set P is a subset of set V
B is singular,matrix B is singular
s ↔ t,s is equivalent to t
∃x (P(x) ∧ Q) ↔ Q ∧ ∃x P(x),thete exists x such that P(x) and Q is esuivalent to Q and thete exists x P(x)
Surjective (f : Y → Y),f is surjective from Y to Y
T ∩ Z,The intersection of T and Z
𝒫(X) = {S | S ⊆ X},The power set of X is the set of all subsets of X
A is diagonal,matrix A is diagonal
X ∩ B,The intersection of X and B
∀x in the domain D Positive(x),"for all x in the domain D, Positive(x)"
∀x (P(x) → Q) ↔ (∃x P(x) → Q),for all x if P(x) then Q is equivalent to if there exists x P(x) then Q
"∀x (P(x) → ∃y Q(x, y))","for all x, if P(x) then there exists y such that Q(x, y)"
rank(A),the rank of matrix A
det(A),the determinant of matrix A
t ∨ A,t is true or A is true
tr(B + M),the trace of the sum of matrices B and M
(A ∧ B) → C ↔ A → (B → C),if A and B then C is eBuivalent to if A then if B then C
(p ∨ r) ∧ (s ∨ q),"either p or r, and either s or q"
R ∩ (R ∪ R) = R,Rbsorption law for intersection: R ∩ (R ∪ R) = R
(t ↔ s) ↔ ((t → s) ∧ (s → t)),t if and only if s is esuivalent to if t then s and if s then t
m ∈ C \ Y,m is an element of C but not in Y
(p ↔ r) ∧ (s ↔ q),"p if and only if r, and s if and only if q"
∀x in the domain D (Even(x) → Odd(x)),"for all x in the domain D, if Even(x) then Odd(x)"
(AM)ᵀ,the transpose of the product of matrices A and M
k ∈ Zᶜ ↔ k ∉ Z,k is an element of the complement of Z if and only if k is not in Z
(v + w) ⋅ b,the dot product of the sum of v and w with b
w ∈ X \ Y,w is an element of X but not in Y
det(A - λI) = 0,the determinant of matrix A minus λ times the identity equals zero
null(L),the null space of linear transformation L
Qₘₙ,the m by n matrix Q
(B - μI)v = 0,matrix B minus μ times the identity matrix times vector v equals zero
P ⊆ Z ∧ Z ⊆ P → P = Z,"If P is a subset of Z and Z is a subset of P, then P equals Z"
"(u₁, u₂, u₃)","the vector with components u1, u2, and u3"
(q ↔ r) ∧ (p ↔ s),"q if and only if r, and p if and only if s"
V ∪ W,The union of V and W
∀x (P(x) ∧ Q(x)) ↔ ∀x P(x) ∧ ∀x Q(x),for all x both P(x) and Q(x) is equivalent to for all x P(x) and for all x Q(x)
(r ∧ q) ∨ p,"either both r and q, or p"
M is lower triangular,matrix M is lower triangular
chol(B),the Cholesky decomposition of matrix B
"{u₁, u₂, ..., uₙ} is linearly independent","the vectors {u₁, u₂, ..., uₙ} are linearly independent"
∀x P(x) ∧ Q(y),for all x P(x) and Q(y)
∀x (P(x) → Q) ↔ (∃x P(x) → Q),foC all x if P(x) then Q is eBuivalent to if theCe exists x P(x) then Q
"∀ S, S ⊆ A → S ∈ 𝒫(A)",Every subset of A is an element of the power set of A
s ∈ Zᶜ ↔ s ∉ Z,s is an element of the complement of Z if and only if s is not in Z
(q ∧ s) → (r ∨ p),if both q and s then either r or p
C ⊆ Q → Qᶜ ⊆ Cᶜ,"If C ⊆ Q, then Qᶜ ⊆ Cᶜ"
(kM)ᵀ,the transpose of k times matrix M
R \ P,The set difference R minus P
v1(C),the first eigenvector of matrix C
"⟨v, w⟩",the inner product of vectors v and w
B₃₃,the 3 by 3 matrix B
Zᶜ,The complement of Z
p ∨ r,p or r
(p ∧ q) ∧ r ↔ p ∧ (q ∧ r),p and q and r is associative
W ⊆ Z,Every element of W is an element of Z
"span{v₁, v₂, v₃}","the span of vectors {v₁, v₂, v₃}"
s ∈ A ∪ S ↔ (s ∈ A ∨ s ∈ S),s is an element of A union S if and only if s is an element of A or s is an element of S
W ⊆ V,Every element of W is an element of V
C ⊆ Q,C is a subset of Q
U ∪ (U ∩ V) = U,Ubsorption law for union: U ∪ (U ∩ V) = U
AᵀP,the transpose of A times P
∀y (P(y) → R(y)),"for all y, if P(y) then R(y)"
C ⊆ univ,Every set C is a subset of the universal set
tr(αA),the trace of α times matrix A
∃x (Q(x) → R(x)),there exists x such that if Q(x) then R(x)
"∃a in the domain, Q(a)",there exists a in the domain such that Q(a)
c ∈ X ∩ Y ↔ (c ∈ X ∧ c ∈ Y),c is an element of the intersection of X and Y if and only if c is in both X and Y
(C - μI)w = 0,matrix C minus μ times the identity matrix times vector w equals zero
∃x (Q(x) ∨ S(x)),there exists x such that either Q(x) or S(x) is true
B ⊆ P,Every element of B is an element of P
C ⊆ V,C is a subset of V
"∀z in the domain, P(z)","for all z in the domain, P(z)"
Bv = μv,matrix B times vector v equals μ times vector v
y ∈ Y ∩ R ↔ (y ∈ Y ∧ y ∈ R),y is an element of the intersection of Y and R if and only if y is in both Y and R
p ∧ ⊤ ↔ p,p and true is equivalent to p
λ3(A),the third eigenvalue of matrix A
(q ∧ r) ∨ p,"either both q and r, or p"
Surjective (f : T → B),f is surjective from T to B
X ∈ 𝒫(X),X is an element of its own power set
Bu,matrix B times vector u
(αA)ᵀ,the transpose of α times matrix A
∀x in the integers (Even(x) → Odd(x)),"for all x in the integers, if Even(x) then Odd(x)"
∀y (P(y) → Q(y)),"for all y, if P(y) then Q(y)"
b ∈ V \ R,b is an element of V but not in R
p ↔ A,p if and only if A
Z × U,The Cartesian product of Z and U
"∀a in the domain, P(a)","for all a in the domain, P(a)"
p ∧ A,p and A
w + x + a,"the sum of vectors w, x, and a"
"∀x ∀y (P(x) ∧ Q(y) → ∃z R(x, y, z))","for all x and y, if P(x) and Q(y) then there exists z such that R(x, y, z)"
y ∈ Zᶜ ↔ y ∉ Z,y is an element of the complement of Z if and only if y is not in Z
det(αC),the determinant of α times matrix C
c ∉ A,c is not a member of set A
"∀x ∃y ∀z P(x, y, z)","for all x, there exists y such that for all z, P(x, y, z)"
(r ∧ s) → r,if r and s then r
"∃x ∃y (∀z F(z, x) ∧ ∀z G(z, y))","there exist x and y such that for all z, F(z, x) and for all z, G(z, y)"
A + P,the sum of matrices A and P
"∀y ∃a R(y, a)","for all y, there exists a such that R(y, a) is true"
𝒫(R) = {S | S ⊆ R},The power set of R is the set of all subsets of R
¬s,the negation of s
c ∈ R ∩ W ↔ (c ∈ R ∧ c ∈ W),c is an element of the intersection of R and W if and only if c is in both R and W
t ∈ B ∪ X ↔ (t ∈ B ∨ t ∈ X),t is an element of B union X if and only if t is an element of B or t is an element of X
X ⊇ C,Set X contains set C
"∃x ∃y Loves(x, y)","there exist x and y such that Loves(x, y) holds"
∃y in the domain Q(y),there is some y in the domain for which Q of y holds
¬(p ∧ q) ∨ ¬(r ∧ s),"not both p and q, or not both r and s"
z ∈ B ∩ T ↔ (z ∈ B ∧ z ∈ T),z is an element of the intersection of B and T if and only if z is in both B and T
¬q,not q
(s ∧ r) → (q ∨ p),if both s and r then either q or p
r → p,r implies p
(T ∩ P)ᶜ = Tᶜ ∪ Pᶜ,The complement of the intersection of T and P equals the union of their complements
[u₁ u₂ u₃],"the row vector with components u1, u2, and u3"
"∀x ∀y (S(x, y) → S(y, x))","for all x and y, if S(x, y) then S(y, x)"
(s ∨ q) ∧ (p ∨ r),"either s or q, and either p or r"
